Reward_Prob,Var1,Participant.ID,Trial_type,trial_number,Time
0.622459331,0.622459331,P014,1,1,POST
0.405248771,0.669648169,P014,1,2,POST
0.260057391,0.802492701,P014,1,3,POST
0.17629344,0.884020745,P014,1,4,POST
0.402086919,0.890106756,P014,1,5,POST
0.258168224,0.895370055,P014,1,6,POST
0.491863454,0.937320028,P014,1,7,POST
0.313753343,0.937118436,P014,1,8,POST
0.542868141,0.936935525,P014,1,9,POST
0.347632994,0.936769608,P014,1,10,POST
0.571175836,0.936619144,P014,1,11,POST
0.725717761,0.936482723,P014,1,12,POST
0.492684036,0.960727963,P014,1,13,POST
0.676190165,0.958785281,P014,1,14,POST
0.787495827,0.956948665,P014,1,15,POST
0.85063927,0.972578223,P014,1,16,POST
0.887112214,0.97019809,P014,1,17,POST
0.687035848,0.980427062,P014,1,18,POST
0.793694668,0.978017328,P014,1,19,POST
0.562469285,0.97558879,P014,1,20,POST
0.720397938,0.973167496,P014,1,21,POST
0.812649395,0.982216953,P014,1,22,POST
0.584451982,0.979840041,P014,1,23,POST
0.733759238,0.977423161,P014,1,24,POST
0.820210176,0.984809165,P014,1,25,POST
0.869366039,0.982512422,P014,1,26,POST
0.898280119,0.980142612,P014,1,27,POST
0.70551842,0.977729201,P014,1,28,POST
0.804212862,0.97530021,P014,1,29,POST
0.574505651,0.983511694,P014,1,30,POST
0.622459331,0.622459331,P014,1,1,POST
0.405248771,0.669648169,P014,1,2,POST
0.260057391,0.802492701,P014,1,3,POST
0.17629344,0.884020745,P014,1,4,POST
0.128614457,0.890106756,P014,1,5,POST
0.337337489,0.895370055,P014,1,6,POST
0.22027009,0.937320028,P014,1,7,POST
0.452934865,0.937118436,P014,1,8,POST
0.289110414,0.961092864,P014,1,9,POST
0.192739127,0.95913121,P014,1,10,POST
0.1380792,0.957275095,P014,1,11,POST
0.106187622,0.955526602,P014,1,12,POST
0.30200329,0.971746152,P014,1,13,POST
0.20006157,0.969383119,P014,1,14,POST
0.142268729,0.967081063,P014,1,15,POST
0.108685022,0.978562191,P014,1,16,POST
0.088285416,0.976135523,P014,1,17,POST
0.075337576,0.98402112,P014,1,18,POST
0.245946872,0.981695596,P014,1,19,POST
0.168315527,0.979307345,P014,1,20,POST
0.392052253,0.976885444,P014,1,21,POST
0.605771684,0.984479658,P014,1,22,POST
0.392597602,0.982170387,P014,1,23,POST
0.606180884,0.9797924,P014,1,24,POST
0.746752368,0.986268716,P014,1,25,POST
0.827556497,0.984036468,P014,1,26,POST
0.87361439,0.981711466,P014,1,27,POST
0.900847891,0.979323538,P014,1,28,POST
0.917699935,0.976901769,P014,1,29,POST
0.740479128,0.984489653,P014,1,30,POST
0.622459331,0.622459331,P014,1,1,POST
0.405248771,0.669648169,P014,1,2,POST
0.615577325,0.709614131,P014,1,3,POST
0.399990322,0.743191638,P014,1,4,POST
0.256917817,0.771293452,P014,1,5,POST
0.174518441,0.865587797,P014,1,6,POST
0.127587544,0.920396979,P014,1,7,POST
0.09988001,0.951536358,P014,1,8,POST
0.082760862,0.950164314,P014,1,9,POST
0.071731627,0.968622268,P014,1,10,POST
0.064374488,0.966343557,P014,1,11,POST
0.059329456,0.964144887,P014,1,12,POST
0.2121237,0.976816926,P014,1,13,POST
0.149144301,0.974388878,P014,1,14,POST
0.112759965,0.971979951,P014,1,15,POST
0.312758474,0.969611875,P014,1,16,POST
0.206187987,0.967303144,P014,1,17,POST
0.437398559,0.978694627,P014,1,18,POST
0.279521028,0.985590822,P014,1,19,POST
0.187304715,0.989905031,P014,1,20,POST
0.134960798,0.987907733,P014,1,21,POST
0.346690171,0.985767073,P014,1,22,POST
0.225664698,0.990017297,P014,1,23,POST
0.156833631,0.988029224,P014,1,24,POST
0.377094004,0.985896234,P014,1,25,POST
0.243373871,0.98364608,P014,1,26,POST
0.166860349,0.981308255,P014,1,27,POST
0.123143054,0.987209763,P014,1,28,POST
0.09718253,0.985027457,P014,1,29,POST
0.28665643,0.982739413,P014,1,30,POST
