Reward_Prob,Var1,Participant.ID,Trial_type,trial_number,Time
0.622459331,0.622459331,P010,1,1,POST
0.689079125,0.593813463,P010,1,2,POST
0.743556646,0.580063575,P010,1,3,POST
0.787285627,0.573533225,P010,1,4,POST
0.822062427,0.570443915,P010,1,5,POST
0.740501017,0.568984823,P010,1,6,POST
0.78484713,0.637083378,P010,1,7,POST
0.697194073,0.667558809,P010,1,8,POST
0.602515306,0.681478763,P010,1,9,POST
0.509057385,0.687935654,P010,1,10,POST
0.592554125,0.626392038,P010,1,11,POST
0.664150351,0.595719879,P010,1,12,POST
0.568998283,0.580972114,P010,1,13,POST
0.644268795,0.642415974,P010,1,14,POST
0.707061076,0.669976413,P010,1,15,POST
0.758056803,0.682595141,P010,1,16,POST
0.798839671,0.688456691,P010,1,17,POST
0.713227401,0.691200806,P010,1,18,POST
0.763012843,0.628074237,P010,1,19,POST
0.672725741,0.596536918,P010,1,20,POST
0.730301841,0.649351626,P010,1,21,POST
0.776697279,0.606961443,P010,1,22,POST
0.687985023,0.654009197,P010,1,23,POST
0.742671956,0.609267891,P010,1,24,POST
0.786579756,0.655041461,P010,1,25,POST
0.821502343,0.675729233,P010,1,26,POST
0.849199939,0.685259969,P010,1,27,POST
0.773537861,0.625018426,P010,1,28,POST
0.811148518,0.595053427,P010,1,29,POST
0.727575897,0.648689753,P010,1,30,POST
0.622459331,0.622459331,P010,1,1,POST
0.528114848,0.593813463,P010,1,2,POST
0.60918442,0.648136687,P010,1,3,POST
0.515396068,0.606361349,P010,1,4,POST
0.429066905,0.653740735,P010,1,5,POST
0.354089478,0.675134531,P010,1,6,POST
0.449070427,0.619858405,P010,1,7,POST
0.371142029,0.659791187,P010,1,8,POST
0.465704917,0.677905106,P010,1,9,POST
0.553991108,0.686271065,P010,1,10,POST
0.463895276,0.62553698,P010,1,11,POST
0.383897441,0.595304946,P010,1,12,POST
0.316192447,0.5807743,P010,1,13,POST
0.41118978,0.573869886,P010,1,14,POST
0.503865197,0.570603009,P010,1,15,POST
0.418830789,0.569059929,P010,1,16,POST
0.345430236,0.637116777,P010,1,17,POST
0.440528992,0.66757393,P010,1,18,POST
0.531084641,0.616042392,P010,1,19,POST
0.443116025,0.590713393,P010,1,20,POST
0.366047448,0.578587884,P010,1,21,POST
0.301425099,0.572834494,P010,1,22,POST
0.396060789,0.570113775,P010,1,23,POST
0.48959207,0.637585424,P010,1,24,POST
0.575370269,0.667786134,P010,1,25,POST
0.64966954,0.681583649,P010,1,26,POST
0.711490313,0.623138108,P010,1,27,POST
0.761617493,0.661265778,P010,1,28,POST
0.801672925,0.612880975,P010,1,29,POST
0.716509352,0.656659987,P010,1,30,POST
0.622459331,0.622459331,P010,1,1,POST
0.689079125,0.660960437,P010,1,2,POST
0.594186041,0.612728445,P010,1,3,POST
0.501187353,0.589117277,P010,1,4,POST
0.585631264,0.5778289,P010,1,5,POST
0.658330871,0.641017205,P010,1,6,POST
0.563201408,0.602857169,P010,1,7,POST
0.639340358,0.652173974,P010,1,8,POST
0.7030112,0.608357941,P010,1,9,POST
0.754797441,0.654634124,P010,1,10,POST
0.796244894,0.609578089,P010,1,11,POST
0.829169434,0.587602874,P010,1,12,POST
0.749025291,0.645368489,P010,1,13,POST
0.657379688,0.67131795,P010,1,14,POST
0.717798144,0.683215503,P010,1,15,POST
0.766681497,0.623971764,P010,1,16,POST
0.676792176,0.594546027,P010,1,17,POST
0.581697853,0.648463418,P010,1,18,POST
0.489481844,0.606522669,P010,1,19,POST
0.575272369,0.58613672,P010,1,20,POST
0.649586692,0.576412983,P010,1,21,POST
0.711422436,0.640387243,P010,1,22,POST
0.761562957,0.669055865,P010,1,23,POST
0.801629541,0.616787992,P010,1,24,POST
0.833439683,0.591072948,P010,1,25,POST
0.85867425,0.578758933,P010,1,26,POST
0.785400261,0.641431034,P010,1,27,POST
0.697822477,0.669529367,P010,1,28,POST
0.750616252,0.617026462,P010,1,29,POST
0.792914327,0.591187982,P010,1,30,POST
