Reward_Prob,Var1,Participant.ID,Trial_type,trial_number,Time
0.622459331,0.622459331,P021,1,1,PRE
0.742466157,0.705917394,P021,1,2,PRE
0.828762481,0.716544518,P021,1,3,PRE
0.704023724,0.778808518,P021,1,4,PRE
0.801964457,0.825743012,P021,1,5,PRE
0.86897013,0.860804879,P021,1,6,PRE
0.761069619,0.887018502,P021,1,7,PRE
0.617446386,0.906748334,P021,1,8,PRE
0.462195424,0.898562354,P021,1,9,PRE
0.323932321,0.915503563,P021,1,10,PRE
0.217995771,0.907067347,P021,1,11,PRE
0.356890573,0.898870662,P021,1,12,PRE
0.512343072,0.915738129,P021,1,13,PRE
0.365974592,0.928642984,P021,1,14,PRE
0.248853177,0.920019745,P021,1,15,PRE
0.394404553,0.931944889,P021,1,16,PRE
0.270348896,0.923315071,P021,1,17,PRE
0.419430204,0.934494738,P021,1,18,PRE
0.289729473,0.925872149,P021,1,19,PRE
0.441278929,0.936478863,P021,1,20,PRE
0.593040097,0.944767232,P021,1,21,PRE
0.719983595,0.936293565,P021,1,22,PRE
0.813176784,0.944621546,P021,1,23,PRE
0.876401537,0.951205364,P021,1,24,PRE
0.772164617,0.942935986,P021,1,25,PRE
0.849006441,0.949866523,P021,1,26,PRE
0.732146533,0.941546845,P021,1,27,PRE
0.821637898,0.948765634,P021,1,28,PRE
0.881983406,0.940407762,P021,1,29,PRE
0.921283188,0.947864546,P021,1,30,PRE
0.622459331,0.622459331,P021,1,1,PRE
0.742466157,0.705917394,P021,1,2,PRE
0.595385107,0.770714644,P021,1,3,PRE
0.440973214,0.773679899,P021,1,4,PRE
0.592762623,0.776314744,P021,1,5,PRE
0.438489456,0.823875477,P021,1,6,PRE
0.304797076,0.821338228,P021,1,7,PRE
0.20428826,0.857517231,P021,1,8,PRE
0.33957241,0.884554576,P021,1,9,PRE
0.494659053,0.904885872,P021,1,10,PRE
0.640031012,0.896764671,P021,1,11,PRE
0.755620465,0.888969468,P021,1,12,PRE
0.610914281,0.908224505,P021,1,13,PRE
0.733713645,0.899989964,P021,1,14,PRE
0.822722971,0.892057062,P021,1,15,PRE
0.695851263,0.884481279,P021,1,16,PRE
0.796172711,0.877301708,P021,1,17,PRE
0.661017402,0.899414365,P021,1,18,PRE
0.771078858,0.891505261,P021,1,19,PRE
0.848272756,0.910145197,P021,1,20,PRE
0.899425258,0.901851244,P021,1,21,PRE
0.807789741,0.893843747,P021,1,22,PRE
0.872836138,0.911918571,P021,1,23,PRE
0.915370112,0.903573641,P021,1,24,PRE
0.833692021,0.895500385,P021,1,25,PRE
0.889899895,0.913176167,P021,1,26,PRE
0.926393379,0.904797396,P021,1,27,PRE
0.949936376,0.920255739,P021,1,28,PRE
0.965232473,0.911723996,P021,1,29,PRE
0.923147028,0.925557853,P021,1,30,PRE
0.622459331,0.622459331,P021,1,1,PRE
0.467101807,0.643519309,P021,1,2,PRE
0.32794962,0.722503492,P021,1,3,PRE
0.220899319,0.731105701,P021,1,4,PRE
0.36050542,0.738671676,P021,1,5,PRE
0.515982143,0.795573308,P021,1,6,PRE
0.369113934,0.795845772,P021,1,7,PRE
0.524577961,0.838484868,P021,1,8,PRE
0.376579555,0.834631758,P021,1,9,PRE
0.531953854,0.831115576,P021,1,10,PRE
0.671274867,0.827913343,P021,1,11,PRE
0.778539115,0.825002219,P021,1,12,PRE
0.638797553,0.86025194,P021,1,13,PRE
0.754703501,0.854649889,P021,1,14,PRE
0.837149308,0.849471085,P021,1,15,PRE
0.715535159,0.844700748,P021,1,16,PRE
0.810064393,0.840320502,P021,1,17,PRE
0.679027253,0.871690309,P021,1,18,PRE
0.78413748,0.86528907,P021,1,19,PRE
0.857066611,0.890382244,P021,1,20,PRE
0.905146703,0.909294299,P021,1,21,PRE
0.816960237,0.901026134,P021,1,22,PRE
0.878900185,0.917379232,P021,1,23,PRE
0.919291248,0.908901749,P021,1,24,PRE
0.840233265,0.900645768,P021,1,25,PRE
0.894179596,0.892686169,P021,1,26,PRE
0.929153985,0.885079835,P021,1,27,PRE
0.951721961,0.905282745,P021,1,28,PRE
0.966401383,0.897147416,P021,1,29,PRE
0.9254438,0.91442758,P021,1,30,PRE
