Reward_Prob,Var1,Participant.ID,Trial_type,trial_number,Time
0.622459331,0.622459331,P027,1,1,PRE
0.456278862,0.633031373,P027,1,2,PRE
0.306090275,0.640879239,P027,1,3,PRE
0.192954763,0.646717342,P027,1,4,PRE
0.117722014,0.723940531,P027,1,5,PRE
0.219831969,0.709586119,P027,1,6,PRE
0.134967092,0.76507034,P027,1,7,PRE
0.246445358,0.801580162,P027,1,8,PRE
0.398222704,0.771625439,P027,1,9,PRE
0.564218802,0.747150608,P027,1,10,PRE
0.710430327,0.789726942,P027,1,11,PRE
0.818492817,0.76184345,P027,1,12,PRE
0.686295831,0.799439652,P027,1,13,PRE
0.801710304,0.824597527,P027,1,14,PRE
0.878882731,0.79104593,P027,1,15,PRE
0.774848952,0.818933675,P027,1,16,PRE
0.861577402,0.837886623,P027,1,17,PRE
0.748339276,0.851028409,P027,1,18,PRE
0.844131994,0.814183419,P027,1,19,PRE
0.905529825,0.834629167,P027,1,20,PRE
0.94288879,0.799711082,P027,1,21,PRE
0.882752003,0.824781216,P027,1,22,PRE
0.929168076,0.841915433,P027,1,23,PRE
0.957005256,0.853855461,P027,1,24,PRE
0.909149045,0.862313596,P027,1,25,PRE
0.945056933,0.868385145,P027,1,26,PRE
0.966456003,0.829981175,P027,1,27,PRE
0.927508373,0.845516786,P027,1,28,PRE
0.956016962,0.809273961,P027,1,29,PRE
0.907262785,0.831276083,P027,1,30,PRE
0.622459331,0.622459331,P027,1,1,PRE
0.456278862,0.707981011,P027,1,2,PRE
0.306090275,0.697304221,P027,1,3,PRE
0.46805762,0.689152053,P027,1,4,PRE
0.629400837,0.682958494,P027,1,5,PRE
0.760583536,0.747662631,P027,1,6,PRE
0.610466529,0.728091263,P027,1,7,PRE
0.746369135,0.777192968,P027,1,8,PRE
0.842820119,0.751640305,P027,1,9,PRE
0.904717208,0.792689469,P027,1,10,PRE
0.942401577,0.82004024,P027,1,11,PRE
0.964877231,0.787152048,P027,1,12,PRE
0.924399064,0.816316494,P027,1,13,PRE
0.954164571,0.78398904,P027,1,14,PRE
0.971873386,0.757155539,P027,1,15,PRE
0.938317982,0.796335001,P027,1,16,PRE
0.962449132,0.767279965,P027,1,17,PRE
0.919651132,0.803047598,P027,1,18,PRE
0.951333324,0.77284615,P027,1,19,PRE
0.970188618,0.806750714,P027,1,20,PRE
0.981440221,0.82955783,P027,1,21,PRE
0.958005745,0.845222901,P027,1,22,PRE
0.974160867,0.856186119,P027,1,23,PRE
0.983826837,0.863979606,P027,1,24,PRE
0.963056203,0.825919646,P027,1,25,PRE
0.977172976,0.792180436,P027,1,26,PRE
0.98564321,0.763857143,P027,1,27,PRE
0.990796273,0.800775064,P027,1,28,PRE
0.993983886,0.770956642,P027,1,29,PRE
0.98540324,0.805492562,P027,1,30,PRE
0.622459331,0.622459331,P027,1,1,PRE
0.755404556,0.633031373,P027,1,2,PRE
0.60405416,0.640879239,P027,1,3,PRE
0.741491522,0.720107655,P027,1,4,PRE
0.839562773,0.706625176,P027,1,5,PRE
0.715972681,0.763133378,P027,1,6,PRE
0.556999578,0.74034915,P027,1,7,PRE
0.70465505,0.785246871,P027,1,8,PRE
0.814510607,0.758180678,P027,1,9,PRE
0.887006934,0.79701343,P027,1,10,PRE
0.931741998,0.767840487,P027,1,11,PRE
0.958537349,0.744112398,P027,1,12,PRE
0.912085318,0.787724582,P027,1,13,PRE
0.94681389,0.760204138,P027,1,14,PRE
0.967500686,0.738015496,P027,1,15,PRE
0.929575698,0.720526388,P027,1,16,PRE
0.957247933,0.706948291,P027,1,17,PRE
0.909613151,0.763344724,P027,1,18,PRE
0.945334756,0.740517765,P027,1,19,PRE
0.966621191,0.785357831,P027,1,20,PRE
0.979303459,0.815112613,P027,1,21,PRE
0.953534776,0.782969934,P027,1,22,PRE
0.97149854,0.813512327,P027,1,23,PRE
0.982226293,0.78161785,P027,1,24,PRE
0.959662354,0.755226765,P027,1,25,PRE
0.97514822,0.734064089,P027,1,26,PRE
0.984421529,0.717443895,P027,1,27,PRE
0.990047672,0.770213802,P027,1,28,PRE
0.993517147,0.746016178,P027,1,29,PRE
0.984336703,0.788979066,P027,1,30,PRE
