Reward_Prob,Var1,Participant.ID,Trial_type,trial_number,Time
0.622459331,0.622459331,P043,1,1,POST
0.324373907,0.866208791,P043,1,2,POST
0.14663669,0.747432526,P043,1,3,POST
0.068056382,0.705201735,P043,1,4,POST
0.034570045,0.693038814,P043,1,5,POST
0.019396139,0.875804321,P043,1,6,POST
0.011921959,0.751790836,P043,1,7,POST
0.007930873,0.884232878,P043,1,8,POST
0.053577755,0.907587348,P043,1,9,POST
0.224204079,0.768206551,P043,1,10,POST
0.529053972,0.711559662,P043,1,11,POST
0.776788493,0.694815475,P043,1,12,POST
0.472132171,0.690171574,P043,1,13,POST
0.742159049,0.875406368,P043,1,14,POST
0.883975269,0.751605497,P043,1,15,POST
0.632042946,0.884205249,P043,1,16,POST
0.832116197,0.755805002,P043,1,17,POST
0.545608085,0.707729512,P043,1,18,POST
0.786256936,0.877859427,P043,1,19,POST
0.903340623,0.90619144,P043,1,20,POST
0.953087598,0.767405549,P043,1,21,POST
0.795405013,0.711308974,P043,1,22,POST
0.907288653,0.878364637,P043,1,23,POST
0.954773335,0.752993346,P043,1,24,POST
0.800555204,0.706875665,P043,1,25,POST
0.909502658,0.877739188,P043,1,26,POST
0.955720619,0.752697958,P043,1,27,POST
0.976072945,0.706786257,P043,1,28,POST
0.985778604,0.693480008,P043,1,29,POST
0.915281987,0.875865642,P043,1,30,POST
0.622459331,0.622459331,P043,1,1,POST
0.827292917,0.866208791,P043,1,2,POST
0.538550819,0.747432526,P043,1,3,POST
0.78225075,0.705201735,P043,1,4,POST
0.901605056,0.693038814,P043,1,5,POST
0.952347827,0.875804321,P043,1,6,POST
0.793170268,0.751790836,P043,1,7,POST
0.906326073,0.884232878,P043,1,8,POST
0.954361936,0.907587348,P043,1,9,POST
0.97544965,0.913160352,P043,1,10,POST
0.985467594,0.771496529,P043,1,11,POST
0.990640216,0.712594346,P043,1,12,POST
0.938911086,0.878546519,P043,1,13,POST
0.968499323,0.753079446,P043,1,14,POST
0.982069737,0.706901736,P043,1,15,POST
0.898782122,0.877742858,P043,1,16,POST
0.951146095,0.752699688,P043,1,17,POST
0.789572117,0.706786781,P043,1,18,POST
0.904773721,0.693480154,P043,1,19,POST
0.953699018,0.875865662,P043,1,20,POST
0.975146366,0.751819442,P043,1,21,POST
0.870563042,0.706520679,P043,1,22,POST
0.939201243,0.693405988,P043,1,23,POST
0.968627888,0.689785636,P043,1,24,POST
0.846366702,0.688797632,P043,1,25,POST
0.92898895,0.87521601,P043,1,26,POST
0.964137697,0.751516988,P043,1,27,POST
0.979992061,0.884192058,P043,1,28,POST
0.987763217,0.75579854,P043,1,29,POST
0.92461385,0.884832318,P043,1,30,POST
0.622459331,0.622459331,P043,1,1,POST
0.827292917,0.67110991,P043,1,2,POST
0.920912827,0.872782933,P043,1,3,POST
0.960629366,0.750393946,P043,1,4,POST
0.978345495,0.706090785,P043,1,5,POST
0.883235055,0.693286234,P043,1,6,POST
0.944553925,0.875838707,P043,1,7,POST
0.770500707,0.905758196,P043,1,8,POST
0.896489468,0.912693323,P043,1,9,POST
0.656502814,0.77121491,P043,1,10,POST
0.844172759,0.712505458,P043,1,11,POST
0.928061797,0.695081242,P043,1,12,POST
0.727030389,0.87608839,P043,1,13,POST
0.877179561,0.751923391,P043,1,14,POST
0.941994663,0.706552077,P043,1,15,POST
0.969868974,0.877693647,P043,1,16,POST
0.982730129,0.752676491,P043,1,17,POST
0.901639716,0.884365016,P043,1,18,POST
0.952362594,0.755883314,P043,1,19,POST
0.793214727,0.707753367,P043,1,20,POST
0.906345234,0.693749801,P043,1,21,POST
0.954370123,0.875903151,P043,1,22,POST
0.799315905,0.751836929,P043,1,23,POST
0.90897044,0.706525961,P043,1,24,POST
0.955492769,0.877689972,P043,1,25,POST
0.975968256,0.752674759,P043,1,26,POST
0.985726284,0.706779238,P043,1,27,POST
0.91504111,0.877725616,P043,1,28,POST
0.958097241,0.75269156,P043,1,29,POST
0.810956256,0.884367266,P043,1,30,POST
