Reward_Prob,Var1,Participant.ID,Trial_type,trial_number,Time
0.622459331,0.622459331,P022,1,1,PRE
0.518498529,0.642587749,P022,1,2,PRE
0.415765344,0.635176884,P022,1,3,PRE
0.520333104,0.653212444,P022,1,4,PRE
0.620411602,0.644351749,P022,1,5,PRE
0.516385103,0.660880263,P022,1,6,PRE
0.413767565,0.674705572,P022,1,7,PRE
0.518335341,0.686287485,P022,1,8,PRE
0.618577214,0.673091221,P022,1,9,PRE
0.514495122,0.684934044,P022,1,10,PRE
0.615043034,0.694870419,P022,1,11,PRE
0.704285135,0.680600904,P022,1,12,PRE
0.606269911,0.691232713,P022,1,13,PRE
0.696757694,0.677415165,P022,1,14,PRE
0.772256945,0.665352415,P022,1,15,PRE
0.684647973,0.654866761,P022,1,16,PRE
0.762416598,0.645782562,P022,1,17,PRE
0.672962008,0.637933201,P022,1,18,PRE
0.752846515,0.631164874,P022,1,19,PRE
0.816866474,0.64986034,P022,1,20,PRE
0.866010597,0.665485935,P022,1,21,PRE
0.802570915,0.654982612,P022,1,22,PRE
0.8551874,0.669770287,P022,1,23,PRE
0.894637102,0.682150762,P022,1,24,PRE
0.9235867,0.669480066,P022,1,25,PRE
0.881960409,0.658450329,P022,1,26,PRE
0.914335463,0.648884166,P022,1,27,PRE
0.93787932,0.664669641,P022,1,28,PRE
0.954858028,0.654274413,P022,1,29,PRE
0.927929824,0.64527017,P022,1,30,PRE
0.622459331,0.622459331,P022,1,1,PRE
0.518498529,0.642587749,P022,1,2,PRE
0.415765344,0.635176884,P022,1,3,PRE
0.520333104,0.628791034,P022,1,4,PRE
0.620411602,0.623296676,P022,1,5,PRE
0.708868453,0.64328723,P022,1,6,PRE
0.611389425,0.659990416,P022,1,7,PRE
0.507118963,0.650218064,P022,1,8,PRE
0.608224919,0.665785085,P022,1,9,PRE
0.503886296,0.678812302,P022,1,10,PRE
0.605224369,0.666569508,P022,1,11,PRE
0.695857473,0.65592296,P022,1,12,PRE
0.596915386,0.670557009,P022,1,13,PRE
0.688679381,0.682810006,P022,1,14,PRE
0.589007368,0.693086949,P022,1,15,PRE
0.484445258,0.679038476,P022,1,16,PRE
0.587016432,0.689921661,P022,1,17,PRE
0.482449585,0.699060902,P022,1,18,PRE
0.585131308,0.706749742,P022,1,19,PRE
0.678425218,0.713229853,P022,1,20,PRE
0.577803777,0.718700359,P022,1,21,PRE
0.473259197,0.723325628,P022,1,22,PRE
0.576410803,0.705684612,P022,1,23,PRE
0.471875866,0.712331492,P022,1,24,PRE
0.372461546,0.717941436,P022,1,25,PRE
0.476242743,0.722683559,P022,1,26,PRE
0.579248905,0.726697748,P022,1,27,PRE
0.673273573,0.730100027,P022,1,28,PRE
0.753102626,0.711703902,P022,1,29,PRE
0.662010847,0.717411359,P022,1,30,PRE
0.622459331,0.622459331,P022,1,1,PRE
0.710612112,0.642587749,P022,1,2,PRE
0.613343079,0.659405739,P022,1,3,PRE
0.702830207,0.649711597,P022,1,4,PRE
0.777162598,0.64132592,P022,1,5,PRE
0.835741491,0.658351067,P022,1,6,PRE
0.763106863,0.648798213,P022,1,7,PRE
0.824863551,0.664597768,P022,1,8,PRE
0.872029889,0.677817976,P022,1,9,PRE
0.907055549,0.665703259,P022,1,10,PRE
0.932607983,0.678743772,P022,1,11,PRE
0.951064135,0.689674407,P022,1,12,PRE
0.922225402,0.676051793,P022,1,13,PRE
0.943579772,0.687416366,P022,1,14,PRE
0.958957392,0.674077596,P022,1,15,PRE
0.934137496,0.662447207,P022,1,16,PRE
0.952165318,0.652347137,P022,1,17,PRE
0.923877188,0.667565712,P022,1,18,PRE
0.944771676,0.656787758,P022,1,19,PRE
0.959814185,0.671280583,P022,1,20,PRE
0.970624188,0.660014927,P022,1,21,PRE
0.952075492,0.650239298,P022,1,22,PRE
0.965062968,0.665802843,P022,1,23,PRE
0.974398579,0.6552576,P022,1,24,PRE
0.957973409,0.670000343,P022,1,25,PRE
0.969301126,0.658902345,P022,1,26,PRE
0.977449379,0.649275606,P022,1,27,PRE
0.983328944,0.664996963,P022,1,28,PRE
0.987591018,0.65455837,P022,1,29,PRE
0.979037264,0.669415376,P022,1,30,PRE
