a(1),v(1),t(1),z(1),dc(1)
2.238605914870855,4.2511304292558725,5.8781885144965065e-06,0.08344657416797159,2.1841101381662087
1.3614028779500287,3.639278433314653,0.09574603790176081,0.1561331562182188,1.187676923908564
1.3929871251134216,4.028831165454366,0.12252290168137404,0.15337427775269077,1.387970035395002
1.3986981839265435,4.13001047193087,0.12675940430307087,0.14748583461893097,1.3605649800490045
1.2423069997717593,4.179429957578193,0.16087545432476147,0.1792063146665556,0.9499007362452851
1.4957904978584113,4.204229388763149,0.10403588895726684,0.13195852005395875,1.6643316693815158
1.6701793148834525,3.8396025797174533,0.07634981973801455,0.14221362071278937,1.6400588849641362
1.3209395822306027,3.8992460569548975,0.1155098352135181,0.17386793096317732,1.1130832630568865
1.1402809589663134,4.221841154267908,0.1277898090590789,0.20263704150058007,0.8062535890170872
1.6855667332078328,3.7857825658043125,0.08492348330538033,0.12826774856609804,1.6946716158656612
0.9887616382691895,5.2003114217354485,0.16754912065751554,0.2934901958264834,-1.0244632292192133
1.006490929126564,4.682692931925797,0.17003554891811293,0.24206917942212966,-0.10659586723438225
1.2659951477281988,4.1197246469601145,0.13723347351362894,0.15586584576436732,1.1949021005160259
1.4139135552077176,3.9142570610454026,0.10942515304300153,0.13591520518595826,1.4495304482438294
1.4500821767073127,4.085946482920006,0.10283676540465951,0.14668531203227708,1.4801672833888184
1.0750592840428335,4.289201028783391,0.1468584142063691,0.22157035336366404,0.6986467828965599
1.3369722460005868,3.6472846821582086,0.09224084710732386,0.18300895673225417,0.9551244181512049
1.1031624486849496,4.309485868196895,0.15883775525185478,0.22718817473814584,0.6528480335154676
1.0394896439074321,4.245406579860255,0.17060183597816198,0.23447154543445375,0.5150191082806942
2.255050345280008,6.522255456085159,2.9084895954731325e-06,0.08841322220885312,-0.5114027204263462
1.619533800629123,4.0673265649995285,0.0922510955893963,0.1310335555561048,1.8252288124549154
1.1135323814243507,4.1310645269818895,0.15134195309161044,0.20692579480179377,0.5556234661313063
1.2173666685026383,4.190614851138643,0.13057396792213122,0.1884365083240209,0.9584711568976312
1.58064842298431,3.8617905313640213,0.1021458232708215,0.13958496703370402,1.6884697220377092
1.0145285641411879,4.597817927726774,0.1746406757092275,0.26092926048870785,-0.12888243948564246
1.0039687029531312,4.798525164803063,0.15847540106356106,0.27402517951888317,-0.37193792733581066
1.0885689632750604,4.26608250252712,0.15467761912575173,0.1981797206270985,0.6081479974939787
