Participant.ID,PRE.POST,Condition,a(1),v(1),t(1),z(1),dc(1)
P025,Blank,Blank,1.294133219,4.065218621,0.129941064,0.18762304,1.104070353
P026,Blank,Blank,1.14823998,4.152175109,0.148127178,0.202387004,0.707256946
P027,Blank,Blank,1.181621808,4.111758401,0.15312358,0.17838409,0.899247018
P028,Blank,Blank,2.238605915,4.251130429,5.88E-06,0.083446574,2.184110138
P029,Blank,Blank,1.361402878,3.639278433,0.095746038,0.156133156,1.187676924
P030,Blank,Blank,1.392987125,4.028831165,0.122522902,0.153374278,1.387970035
P031,Blank,Blank,1.398698184,4.130010472,0.126759404,0.147485835,1.36056498
P032,Blank,Blank,1.242307,4.179429958,0.160875454,0.179206315,0.949900736
P033,Blank,Blank,1.495790498,4.204229389,0.104035889,0.13195852,1.664331669
P034,Blank,Blank,1.670179315,3.83960258,0.07634982,0.142213621,1.640058885
P035,Blank,Blank,1.320939582,3.899246057,0.115509835,0.173867931,1.113083263
P036,Blank,Blank,1.140280959,4.221841154,0.127789809,0.202637042,0.806253589
P037,Blank,Blank,1.685566733,3.785782566,0.084923483,0.128267749,1.694671616
P038,Blank,Blank,0.988761638,5.200311422,0.167549121,0.293490196,-1.024463229
P039,Blank,Blank,1.006490929,4.682692932,0.170035549,0.242069179,-0.106595867
P040,Blank,Blank,1.265995148,4.119724647,0.137233474,0.155865846,1.194902101
P041,Blank,Blank,1.413913555,3.914257061,0.109425153,0.135915205,1.449530448
P042,Blank,Blank,1.450082177,4.085946483,0.102836765,0.146685312,1.480167283
P043,Blank,Blank,1.075059284,4.289201029,0.146858414,0.221570353,0.698646783
P044,Blank,Blank,1.336972246,3.647284682,0.092240847,0.183008957,0.955124418
P045,Blank,Blank,1.103162449,4.309485868,0.158837755,0.227188175,0.652848034
P046,Blank,Blank,1.039489644,4.24540658,0.170601836,0.234471545,0.515019108
P047,Blank,Blank,2.255050345,6.522255456,2.91E-06,0.088413222,-0.51140272
P048,Blank,Blank,1.619533801,4.067326565,0.092251096,0.131033556,1.825228812
P049,Blank,Blank,1.113532381,4.131064527,0.151341953,0.206925795,0.555623466
P050,Blank,Blank,1.217366669,4.190614851,0.130573968,0.188436508,0.958471157
P051,Blank,Blank,1.580648423,3.861790531,0.102145823,0.139584967,1.688469722
P052,Blank,Blank,1.014528564,4.597817928,0.174640676,0.26092926,-0.128882439
P053,Blank,Blank,1.003968703,4.798525165,0.158475401,0.27402518,-0.371937927
P054,Blank,Blank,1.088568963,4.266082503,0.154677619,0.198179721,0.608147997
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
