Participant.ID,PRE.POST,Condition,a(1),v(1),t(1),z(1),dc(1)
P024,Blank,Blank,0.999887732,4.637276395,0.180822388,0.2458685,0.150007779
P025,Blank,Blank,0.895896206,4.940710368,0.195463011,0.324420876,-0.870381214
P026,Blank,Blank,1.042669952,4.369736681,0.174009729,0.2330746,0.487502498
P027,Blank,Blank,0.987935774,4.456331933,0.182024554,0.254515875,0.203961363
P028,Blank,Blank,0.968908625,4.661106856,0.184941453,0.270353389,-0.119873169
P029,Blank,Blank,0.898315697,4.678381822,0.195213783,0.316517192,-0.531171753
P030,Blank,Blank,0.888356233,4.986756111,0.197020111,0.329562401,-0.940154611
P031,Blank,Blank,0.902069088,4.82149956,0.194638992,0.316205048,-0.693979046
P032,Blank,Blank,0.896162313,5.11291479,0.195205417,0.319054644,-1.035509972
P033,Blank,Blank,1.082316086,4.311021277,0.168993951,0.216156306,0.72055732
P034,Blank,Blank,1.009539233,4.529819917,0.178520687,0.24478296,0.212819867
P035,Blank,Blank,0.972866836,4.424380741,0.183318068,0.263892721,0.12573297
P036,Blank,Blank,0.936800744,4.494320331,0.188265203,0.289860094,-0.200504864
P037,Blank,Blank,1.005645215,4.454441841,0.180009968,0.247512371,0.336914261
P038,Blank,Blank,0.921952192,4.732662161,0.191388209,0.301155759,-0.506457539
P039,Blank,Blank,0.934719622,4.870518711,0.187753787,0.29421322,-0.599532357
P040,Blank,Blank,0.981470535,4.66597914,0.182570816,0.260644155,-0.064917279
P041,Blank,Blank,0.954430284,4.6984853,0.187421786,0.275890443,-0.161052545
P042,Blank,Blank,1.003696689,4.456152319,0.17917598,0.245849581,0.241186171
P043,Blank,Blank,0.911884057,4.977600648,0.193511779,0.314538746,-0.864192809
P044,Blank,Blank,0.978900175,4.4736286,0.182565408,0.264235624,0.093507469
P045,Blank,Blank,0.993002638,4.473625721,0.181093985,0.260880807,0.11799472
P046,Blank,Blank,0.935807733,4.728488001,0.188566718,0.29026877,-0.37770337
P047,Blank,Blank,0.969643796,4.741844223,0.183647909,0.269336355,-0.21426732
P048,Blank,Blank,0.956720756,4.428101156,0.185803421,0.27173707,0.07732386
P049,Blank,Blank,0.943124892,4.563662153,0.188258317,0.283856118,-0.151598732
P050,Blank,Blank,0.901552128,4.508080595,0.193784859,0.316749815,-0.402198345
P051,Blank,Blank,1.032726518,4.359597088,0.177123728,0.234600313,0.521211438
P052,Blank,Blank,1.000502473,4.406713091,0.180193232,0.253323491,0.256391656
P053,Blank,Blank,1.027708877,4.507321182,0.177093559,0.242625446,0.291425435
P054,Blank,Blank,0.923563534,4.62182674,0.190189746,0.303190502,-0.45967216
P001,Blank,Blank,0.966552643,4.673688967,0.185012584,0.269916406,-0.14492722
