Participant.ID,PRE.POST,Condition,a(1),v(1),t(1),z_trans(1),z(1),dc(1),likelihood,penalty,bic
P033,POST,Fear,0.774468544,3.144402728,0.186157882,-0.211394003,0.447347429,1.377798056,-572.4070065,30.45104289,602.8580494
P034,POST,Fear,0.756200836,1.996597404,0.180481384,-0.890971219,0.290909443,2.705749649,-606.7475783,30.45104289,637.1986212
P035,POST,Fear,0.763067041,3.903522156,0.20279228,-0.765022264,0.317556873,1.770809103,-518.5647151,30.45104289,549.015758
P036,POST,Fear,0.686371888,5.278874033,0.224194337,-0.676661193,0.337006897,1.915434011,-481.6331933,30.45104289,512.0842362
P037,POST,Fear,0.723326265,3.558809627,0.217413814,-0.246974246,0.43856838,1.749595236,-531.1379392,30.45104289,561.5889821
P038,POST,Fear,0.670897056,3.794221594,0.235938199,-0.966853576,0.275508095,2.120412926,-528.6447717,30.45104289,559.0958146
P039,POST,Fear,0.796690711,2.70021078,0.154797564,-0.705054587,0.330692515,2.3116255,-564.7712439,30.45104289,595.2222868
P040,POST,Fear,0.670661832,2.165578958,0.198730728,0.128808886,0.532157771,1.168959947,-589.1222755,30.45104289,619.5733184
P041,POST,Fear,0.724724216,2.950860865,0.187505641,-0.568851374,0.361501907,1.909679667,-543.0439941,30.45104289,573.495037
P042,POST,Fear,0.671295503,4.588395054,0.22110618,-0.593081011,0.35592824,2.338793873,-540.3140037,30.45104289,570.7650466
P043,POST,Fear,0.7294684,4.609861176,0.217912135,-0.735908813,0.323899421,1.638406633,-476.4582216,30.45104289,506.9092645
P044,POST,Fear,1.411571892,21.14594171,0.18943626,-2.254963827,0.094922155,-11.12248539,-484.0219028,30.45104289,514.4729457
P045,POST,Fear,0.722528406,3.011009203,0.211445951,-0.571213236,0.360956924,1.525229013,-538.9655038,30.45104289,569.4165467
P046,POST,Fear,0.904053649,4.485438571,0.196007821,-0.831746788,0.303275848,2.483587147,-511.7609597,30.45104289,542.2120026
P047,POST,Fear,0.930963956,2.475171242,0.155613977,-0.940122758,0.280875547,2.105138324,-612.1735924,30.45104289,642.6246353
P048,POST,Fear,0.687948558,2.8011153,0.213890414,-0.579895452,0.358956651,2.167380211,-554.4287173,30.45104289,584.8797602
P049,POST,Fear,0.881951338,3.583918697,0.199173975,-0.560147504,0.363513331,1.831076238,-519.4223803,30.45104289,549.8734232
P050,POST,Fear,1.032098739,2.87312773,0.132051958,-0.631270975,0.347222404,1.8791337,-538.5076838,30.45104289,568.9587267
P051,POST,Fear,0.715071651,2.225597687,0.205216613,-0.494510596,0.378831564,1.451003193,-611.7037899,30.45104289,642.1548328
P052,POST,Fear,0.8303907,4.766403705,0.201641229,-0.459067154,0.387207144,2.075232491,-494.0155681,30.45104289,524.466611
P053,POST,Fear,0.796447122,1.893616809,0.179089097,-0.772476692,0.315943592,2.181564865,-659.4016282,30.45104289,689.8526711
P054,POST,Fear,2.296704029,-0.629842832,0.05776868,-3.123478941,0.042149094,10.90398682,-618.6876853,30.45104289,649.1387282
